Brand,Model,Features,Price,Customer Feedback,Sales Date,Sales Unit,Revenue
Electrolux,Model B,"Water Dispenser, Smart Cooling, Adjustable Shelves",501.72,1,2021-06-18,7,3512.04
LG,Model B,"Energy Efficient, Adjustable Shelves, Water Dispenser, Smart Cooling",1486.1,4,2021-06-19,1,1486.1
Whirlpool,Model E,"Frost-Free, Water Dispenser, Ice Maker, Adjustable Shelves, Energy Efficient, Smart Cooling",906.9,2,2021-06-20,5,4534.5
Whirlpool,Model B,"Adjustable Shelves, Energy Efficient, Ice Maker",541.65,2,2021-06-21,10,5416.5
Samsung,Model F,"Ice Maker, Adjustable Shelves, Smart Cooling, Frost-Free",522.09,4,2021-06-22,6,3132.54
Bosch,Model G,"Water Dispenser, Energy Efficient, Frost-Free, Ice Maker, Smart Cooling, Adjustable Shelves",810.03,3,2021-06-23,2,1620.06
Samsung,Model E,"Water Dispenser, Ice Maker, Smart Cooling, Energy Efficient, Frost-Free",1856.66,2,2021-06-24,2,3713.32
Electrolux,Model C,"Frost-Free, Smart Cooling, Adjustable Shelves, Ice Maker",1632.8,3,2021-06-25,3,4898.4
Haier,Model H,"Adjustable Shelves, Water Dispenser",935.57,3,2021-06-26,4,3742.28
GE Appliances,Model H,"Frost-Free, Smart Cooling, Energy Efficient, Water Dispenser",1281.14,5,2021-06-27,9,11530.26
GE Appliances,Model D,"Water Dispenser, Energy Efficient, Frost-Free, Ice Maker, Smart Cooling",1034.72,5,2021-06-28,5,5173.6
LG,Model D,"Water Dispenser, Energy Efficient, Adjustable Shelves, Ice Maker, Frost-Free",581.55,3,2021-06-29,8,4652.4
Haier,Model C,"Smart Cooling, Water Dispenser",1123.08,3,2021-06-30,8,8984.64
LG,Model D,"Adjustable Shelves, Frost-Free",1838.22,3,2021-07-01,10,18382.2
Samsung,Model E,"Energy Efficient, Water Dispenser, Frost-Free",980.89,2,2021-07-02,8,7847.12
Electrolux,Model D,"Energy Efficient, Adjustable Shelves, Smart Cooling, Ice Maker, Water Dispenser",1489.09,5,2021-07-03,6,8934.539999999999
GE Appliances,Model F,"Ice Maker, Energy Efficient, Smart Cooling, Adjustable Shelves",1513.62,3,2021-07-04,8,12108.96
Frigidaire,Model B,"Adjustable Shelves, Water Dispenser, Smart Cooling",811.0,1,2021-07-05,6,4866.0
Samsung,Model A,"Smart Cooling, Ice Maker, Adjustable Shelves, Frost-Free",1950.98,3,2021-07-06,5,9754.9
Whirlpool,Model G,Water Dispenser,1649.81,1,2021-07-07,10,16498.1
Bosch,Model H,Ice Maker,1945.36,4,2021-07-08,2,3890.72
Bosch,Model F,"Adjustable Shelves, Water Dispenser, Smart Cooling, Frost-Free, Ice Maker",1799.86,5,2021-07-09,5,8999.3
Whirlpool,Model E,"Adjustable Shelves, Energy Efficient, Frost-Free, Smart Cooling, Water Dispenser",1731.59,2,2021-07-10,8,13852.72
GE Appliances,Model F,"Frost-Free, Energy Efficient, Smart Cooling, Adjustable Shelves, Water Dispenser",786.04,1,2021-07-11,5,3930.2
LG,Model A,"Water Dispenser, Energy Efficient, Adjustable Shelves, Ice Maker",553.01,3,2021-07-12,7,3871.0699999999997
Bosch,Model A,"Adjustable Shelves, Ice Maker, Smart Cooling, Energy Efficient, Water Dispenser",1140.37,5,2021-07-13,1,1140.37
Samsung,Model F,"Smart Cooling, Water Dispenser",1825.72,4,2021-07-14,9,16431.48
Frigidaire,Model C,Smart Cooling,1743.5,4,2021-07-15,4,6974.0
GE Appliances,Model A,"Energy Efficient, Ice Maker, Smart Cooling, Water Dispenser, Frost-Free",1121.98,5,2021-07-16,8,8975.84
Bosch,Model B,"Adjustable Shelves, Frost-Free, Water Dispenser",1029.41,5,2021-07-17,6,6176.460000000001
Electrolux,Model G,"Smart Cooling, Energy Efficient, Water Dispenser, Frost-Free",1662.01,3,2021-07-18,7,11634.07
Bosch,Model E,"Frost-Free, Ice Maker, Adjustable Shelves, Smart Cooling, Energy Efficient, Water Dispenser",1560.95,4,2021-07-19,1,1560.95
Samsung,Model F,Energy Efficient,889.7,5,2021-07-20,5,4448.5
Frigidaire,Model F,"Ice Maker, Smart Cooling, Adjustable Shelves",1593.7,3,2021-07-21,8,12749.6
Whirlpool,Model F,"Adjustable Shelves, Smart Cooling, Energy Efficient, Ice Maker",1058.55,1,2021-07-22,2,2117.1
Frigidaire,Model D,"Energy Efficient, Ice Maker",1936.15,4,2021-07-23,2,3872.3
GE Appliances,Model H,"Energy Efficient, Water Dispenser, Frost-Free",1861.7,4,2021-07-24,7,13031.9
Frigidaire,Model D,Energy Efficient,611.64,4,2021-07-25,7,4281.48
Bosch,Model B,"Water Dispenser, Adjustable Shelves, Ice Maker, Energy Efficient, Smart Cooling, Frost-Free",1649.6,4,2021-07-26,3,4948.799999999999
GE Appliances,Model E,"Energy Efficient, Ice Maker, Water Dispenser, Frost-Free",1706.1,4,2021-07-27,5,8530.5
Whirlpool,Model C,Smart Cooling,1917.38,2,2021-07-28,1,1917.38
Bosch,Model E,"Ice Maker, Energy Efficient",510.39,3,2021-07-29,2,1020.78
Electrolux,Model G,Frost-Free,808.3,5,2021-07-30,4,3233.2
Samsung,Model A,"Frost-Free, Smart Cooling, Adjustable Shelves, Ice Maker, Energy Efficient",698.06,3,2021-07-31,8,5584.48
LG,Model C,"Energy Efficient, Adjustable Shelves, Ice Maker, Water Dispenser",1763.7,5,2021-08-01,8,14109.6
Bosch,Model D,"Frost-Free, Smart Cooling, Ice Maker",1106.61,1,2021-08-02,6,6639.66
Electrolux,Model G,"Adjustable Shelves, Smart Cooling, Ice Maker",772.43,4,2021-08-03,1,772.43
Frigidaire,Model B,Ice Maker,1288.99,2,2021-08-04,8,10311.92
Bosch,Model D,Energy Efficient,1149.97,4,2021-08-05,8,9199.76
Bosch,Model A,Water Dispenser,1586.42,1,2021-08-06,2,3172.84
Whirlpool,Model F,"Adjustable Shelves, Smart Cooling, Water Dispenser, Energy Efficient",735.34,1,2021-08-07,2,1470.68
Samsung,Model F,"Energy Efficient, Water Dispenser, Ice Maker, Adjustable Shelves, Smart Cooling, Frost-Free",1273.33,1,2021-08-08,1,1273.33
LG,Model H,"Adjustable Shelves, Smart Cooling, Frost-Free, Ice Maker",1069.74,5,2021-08-09,4,4278.96
LG,Model E,"Smart Cooling, Energy Efficient, Adjustable Shelves, Frost-Free, Ice Maker, Water Dispenser",1924.42,4,2021-08-10,2,3848.84
GE Appliances,Model F,"Frost-Free, Adjustable Shelves, Water Dispenser, Energy Efficient, Smart Cooling",1711.08,3,2021-08-11,3,5133.24
Haier,Model E,Water Dispenser,1779.53,3,2021-08-12,8,14236.24
Electrolux,Model A,Ice Maker,884.84,1,2021-08-13,10,8848.4
Frigidaire,Model F,"Ice Maker, Frost-Free, Water Dispenser, Energy Efficient",1986.0,5,2021-08-14,4,7944.0
Whirlpool,Model D,"Energy Efficient, Adjustable Shelves, Frost-Free",789.38,5,2021-08-15,3,2368.14
Samsung,Model E,"Smart Cooling, Frost-Free",784.53,4,2021-08-16,3,2353.59
Bosch,Model H,"Smart Cooling, Adjustable Shelves, Frost-Free, Ice Maker",916.27,1,2021-08-17,6,5497.62
Electrolux,Model A,Energy Efficient,1221.68,1,2021-08-18,9,10995.12
GE Appliances,Model G,Smart Cooling,1543.01,2,2021-08-19,6,9258.06
Samsung,Model D,"Energy Efficient, Adjustable Shelves",890.23,2,2021-08-20,10,8902.3
Haier,Model E,"Ice Maker, Adjustable Shelves, Frost-Free, Energy Efficient",690.85,3,2021-08-21,5,3454.25
Frigidaire,Model F,"Frost-Free, Adjustable Shelves, Water Dispenser, Energy Efficient",1639.85,1,2021-08-22,8,13118.8
LG,Model B,"Smart Cooling, Energy Efficient, Frost-Free, Ice Maker, Adjustable Shelves, Water Dispenser",727.44,2,2021-08-23,1,727.44
Whirlpool,Model E,"Frost-Free, Energy Efficient, Adjustable Shelves, Ice Maker",1029.65,5,2021-08-24,3,3088.9500000000003
Whirlpool,Model H,Water Dispenser,999.5,2,2021-08-25,2,1999.0
Samsung,Model E,"Frost-Free, Smart Cooling, Adjustable Shelves, Water Dispenser, Energy Efficient, Ice Maker",1290.36,4,2021-08-26,1,1290.36
Haier,Model E,"Water Dispenser, Smart Cooling, Ice Maker",1300.64,5,2021-08-27,1,1300.64
